word	pronunciation
եղբոր	j e χ ˈ p o ɾ
եղբորորդի	j e χ p o ɾ o ɾ ˈ t ʰ i
եղեգ	j e ˈ ʁ e ɡ
եղեգն	j e ˈ ʁ e ɡ ə n
Եղեգնաձոր	j e ʁ e ɡ n ɑ ˈ d ͡ z o ɾ
եղեգնյա	j e ʁ e ɡ ˈ ˈ n j ɑ
եղել	j e ˈ ʁ e l
-եղեն	e ˈ ʁ e n
եղեռն	j e ˈ ʁ e r n
եղեսպակ	j e ʁ e s ˈ p ɑ k
եղևին	j e ʁ e ˈ v i n
եղևնի	j e ʁ e v ˈ n i
եղերական	j e ʁ e ɾ ɑ ˈ k ɑ n
եղերդ	j e ˈ ʁ e ɾ d
եղերդակ	j e ʁ e ɾ ˈ d ɑ k
եղեք	j e ˈ ʁ e k ʰ
Եղիա	j e ʁ i ˈ ɑ
Եղիազար	j e ʁ i ɑ ˈ z ɑ ɾ
Եղիազարյան	j e ʁ i ɑ z ɑ ˈ ɾ j ɑ n
եղինձ	j e ˈ ʁ i n d ͡ z
եղինջ	j e ˈ ʁ i n d ͡ ʒ
Եղիշե	j e ʁ i ˈ ʃ e
Եղիսաբեթ	j e ʁ i s ɑ ˈ b e t ʰ
Եղիսե	j e ʁ i ˈ s e
եղիր	j e ˈ ʁ i ɾ
եղծ	j e χ t ͡ s
եղծանել	j e χ t ͡ s ɑ ˈ n e l
եղծել	j e χ ˈ t ͡ s e l
եղյամ	j e ˈ ʁ j ɑ m
եղն	ˈ j e ʁ ə n
եղնիկ	j e ʁ ˈ n i k
եղնորթ	j e ʁ ˈ n o ɾ t ʰ
եղջերափող	j e ʁ d ͡ ʒ e ɾ ɑ ˈ p ʰ o ʁ
եղջերվամիս	j e ʁ d ͡ ʒ e ɾ v ɑ ˈ m i s
եղջերու	j e ʁ d ͡ ʒ e ˈ ɾ u
եղջյուր	j e ʁ ˈ d ͡ ʒ j u ɾ
եղտյուր	j e χ ˈ t j u ɾ
եղրևանի	j e ʁ ɾ e v ɑ ˈ n i
եղրի	j e ʁ ˈ ɾ i
եղունգ	j e ˈ ʁ u n ɡ
եղունգկտրիչ	j e ʁ u n ɡ k ə t ˈ ɾ i t ͡ ʃ ʰ
եղունգների	j e ʁ u n ɡ n e ˈ ɾ i
եղունգների մկրատ	j e ʁ u n ɡ n e ˈ ɾ i   m ə k ˈ ɾ ɑ t
եմ	e m
ԵՄ	j e ˈ m ə
Եմեն	j e ˈ m e n
Եմենիճյան	j e m e n i ˈ t ͡ ʃ j ɑ n
եմիշ	j e ˈ m i ʃ
են	e n
-են-	e n
ենթա-	j e n ˈ t ʰ ɑ
ենթագիր	j e n t ʰ ɑ ˈ ɡ i ɾ
ենթադրական եղանակ	j e n t ʰ ɑ d ɾ ɑ ˈ k ɑ n   j e ʁ ɑ ˈ n ɑ k
ենթադրել	j e n t ʰ ɑ d ˈ ɾ e l
ենթադրելի	j e n t ʰ ɑ d ɾ e ˈ l i
ենթադրյալ	j e n t ʰ ɑ d ə ˈ ɾ j ɑ l
ենթակա	j e n t ʰ ɑ ˈ k ɑ
ենթակայական	j e n t ʰ ɑ k ɑ j ɑ ˈ k ɑ n
ենթակայական դերբայ	j e n t ʰ ɑ k ɑ j ɑ ˈ k ɑ n   d e ɾ ˈ b ɑ j
ենթակայան	j e n t ʰ ɑ k ɑ ˈ j ɑ n
ենթակայություն	j e n t ʰ ɑ k ɑ j u ˈ t ʰ j u n
ենթակառույց	j e n t ʰ ɑ k ɑ ˈ r u j t ͡ s ʰ
ենթակառուցվածք	j e n t ʰ ɑ k ɑ r u t ͡ s ʰ ˈ v ɑ t ͡ s k ʰ
ենթահնչույթ	j e n t ʰ ɑ h ə n ˈ t ͡ ʃ ʰ u j t ʰ
ենթամնա	j e n t ʰ ɑ m ə ˈ n ɑ
ենթաշերտ	j e n t ʰ ɑ ˈ ʃ e ɾ t
ենթասպա	j e n t ʰ ɑ s ˈ p ɑ
ենթաստամոքսային գեղձ	j e n t ʰ ɑ s t ɑ m o k ʰ s ɑ ˈ j i n   ɡ e ʁ d ͡ z
ենթարկել	j e n t ʰ ɑ ɾ ˈ k e l
ենթարկելիություն	j e n t ʰ ɑ ɾ k e l i u ˈ t ʰ j u n
ենթարկվել	j e n t ʰ ɑ ɾ k ˈ v e l
-ենի	e ˈ n i
ենիչար	j e n i ˈ t ͡ ʃ ʰ ɑ ɾ
ենիչարի	j e n i t ͡ ʃ ʰ ɑ ˈ ɾ i
ենիչերի	j e n i t ͡ ʃ ʰ e ˈ ɾ i
Ենիսեյ	j e n i ˈ s e j
ենք	e n k ʰ
եչ	j e t ͡ ʃ ʰ
եպեր	j e ˈ p e ɾ
եպերանք	j e p e ˈ ɾ ɑ n k ʰ
եպերել	j e p e ˈ ɾ e l
եպիսկոպոս	j e p i s k o ˈ p o s
Եպիփանես	j e p i p ʰ ɑ ˈ n e s
ԵՊՀ	j e p ə ˈ h ə
եռաբարբառ	j e r ɑ b ɑ ɾ ˈ b ɑ r
եռալ	j e ˈ r ɑ l
եռամսյակ	j e r ɑ m ˈ s j ɑ k
եռանդ	j e ˈ r ɑ n d
եռանդագին	j e r ɑ n d ɑ ˈ ɡ i n
եռանդալի	j e r ɑ n d ɑ ˈ l i
եռանդալից	j e r ɑ n d ɑ ˈ l i t ͡ s ʰ
եռանդոտ	j e r ɑ n ˈ d o t
եռանդուն	j e r ɑ n ˈ d u n
եռանկյուն	j e r ɑ n ˈ k j u n
եռանկյունաչափական	j e r ɑ n k j u n ɑ t ͡ ʃ ʰ ɑ p ʰ ɑ ˈ k ɑ n
եռանկյունաչափություն	j e r ɑ n k j u n ɑ t ͡ ʃ ʰ ɑ p ʰ u ˈ t ʰ j u n
եռանկյունի	j e r ɑ n k j u ˈ n i
եռապատկեր	j e r ɑ p ɑ t ˈ k e ɾ
եռացում	j e r ɑ ˈ t ͡ s ʰ u m
եռիլիոն	j e r i ˈ l j o n
ես	e s
ես անգլերեն չեմ խոսում	j e s   ɑ n ɡ l e ˈ ɾ e n   t ͡ ʃ ʰ e m   χ o ˈ s u m
ես թարգմանչի կարիք ունեմ	j e s   t ʰ ɑ ɾ ɡ m ɑ n ˈ t ͡ ʃ ʰ i   k ɑ ˈ ɾ i k ʰ   u ˈ n e m
ես ծարավ եմ	j e s   t ͡ s ɑ ˈ ɾ ɑ v   e m
ես հայ եմ	j e s   h ɑ j   e m
ես հայերեն չգիտեմ	j e s   h ɑ j e ˈ ɾ e n   t ͡ ʃ ʰ ə ɡ i ˈ t e m
ես հարց ունեմ	j e s   h ɑ ɾ t ͡ s ʰ   u ˈ n e m
ես քեզ կարոտում եմ	j e s   k ʰ e z   k ɑ ɾ o ˈ t u m   e m
ես քեզ սիրում եմ	j e s   k ʰ e s   s i ˈ ɾ u m   e m
Եսայան	j e s ɑ ˈ j ɑ n
Եսայի	j e s ɑ ˈ j i
եսասիրական	j e s ɑ s i ɾ ɑ ˈ k ɑ n
Եսավ	j e ˈ s ɑ v
Եսթեր	j e s ˈ t ʰ e ɾ
եսիմ	j e s ˈ s i m
եսիր	j e ˈ s i ɾ
Եվա	j e ˈ v ɑ
Եվգենի	j e v ˈ ɡ e n i
Եվգենիոս	j e v ɡ e n i ˈ o s
Եվգենյա	j e v ˈ ɡ e n j ɑ
ևս	ˈ j e v ə s
Եվսեբիոս	j e f s e ˈ b j o s
եվրա-	j e v ˈ ɾ ɑ
եվրաինտեգրում	j e v ɾ ɑ i n t e ɡ ˈ ɾ u m
Եվրախորհրդարան	j e v ɾ ɑ χ o ɾ ə ɾ t ʰ ɑ ˈ ɾ ɑ n
Եվրախորհուրդ	j e v ɾ ɑ χ o ˈ ɾ u ɾ t ʰ
Եվրահանձնաժողով	j e v ɾ ɑ h ɑ n d ͡ z n ɑ ʒ o ˈ ʁ o v
Եվրամիություն	j e v ɾ ɑ m i u ˈ t ʰ j u n
Եվրասիա	j e v ˈ ɾ ɑ s i ɑ
եվրասիական	j e v ɾ ɑ s i ɑ ˈ k ɑ n
Եվրասիական տնտեսական միություն	j e v ɾ ɑ s i ɑ ˈ k ɑ n   t ə n t e s ɑ ˈ k ɑ n   m i u ˈ t ʰ j u n
Եվրատեսիլ	j e v ɾ ɑ t e ˈ s i l
եվրեյ	j e v ˈ ɾ e j
Եվրիպիդես	j e v ɾ i p i ˈ d e s
եվրո	ˈ j e v ɾ o
Եվրոպա	j e v ˈ ɾ o p ɑ
եվրոպական	j e v ɾ o p ɑ ˈ k ɑ n
Եվրոպական խորհրդարան	j e v ɾ o p ɑ ˈ ˈ k ɑ n   χ o ɾ ə ɾ t ʰ ɑ ˈ ɾ ɑ n
Եվրոպական խորհուրդ	j e v ɾ o p ɑ ˈ ˈ k ɑ n   χ o ˈ ɾ u ɾ t ʰ
Եվրոպական հանձնաժողով	j e v ɾ o p ɑ ˈ ˈ k ɑ n   h ɑ n d ͡ z n ɑ ʒ o ˈ ʁ o v
Եվրոպական Միություն	j e v ɾ o p ɑ ˈ k ɑ n   m i u ˈ t ʰ j u n
Եվրոպայի	j e v ɾ o p ɑ ˈ j i
Եվրոպայի խորհուրդ	j e v ɾ o p ɑ ˈ ˈ j i   χ o ˈ ɾ u ɾ t ʰ
Եվրոպայում	j e v ɾ o p ɑ ˈ j u m
Եվրոպայում անվտանգության և համագործակցության կազմակերպություն	j e v ɾ o p ɑ ˈ j u m   ɑ n v ə t ɑ n ɡ u ˈ t ʰ j ɑ n   j e v   h ɑ m ɑ ɡ o ɾ t ͡ s ɑ k t ͡ s ʰ u ˈ t ʰ j ɑ n   k ɑ z m ɑ k e ɾ p u ˈ t ʰ j u n
եվրոպացի	j e v ɾ o p ɑ ˈ t ͡ s ʰ i
եվրոպեոիդ	j e v ɾ o p e o ˈ i d
եվրոպիում	j e v ɾ o p i ˈ j u m
ետ	j e t
ետև	j e ˈ t e v
ետին	j e ˈ t i n
ԵՏՄ	j e t ə ˈ m ə
ետնալեզվային	j e t n ɑ l e z v ɑ ˈ j i n
ետք	j e t k ʰ
-եր	e ɾ
երազ	j e ˈ ɾ ɑ z
երազանք	j e ɾ ɑ ˈ z ɑ n k ʰ
Երազգավորս	j e ɾ ɑ z ɡ ɑ ˈ v o ɾ s
երազել	j e ɾ ɑ ˈ z e l
երազող	j e ɾ ɑ ˈ z o ʁ
երաժիշտ	j e ɾ ɑ ˈ ʒ i ʃ t
երաժշտական	j e ɾ ɑ ʒ ə ʃ t ɑ ˈ k ɑ n
երաժշտություն	j e ɾ ɑ ʒ ə ʃ t u ˈ t ʰ j u n
երախ	j e ˈ ɾ ɑ χ
երախայրի	j e ɾ ɑ χ ɑ j ˈ ɾ i
երախայրիք	j e ɾ ɑ χ ɑ j ˈ ɾ i k ʰ
երախտագիտություն	j e ɾ ɑ χ t ɑ ɡ i t u ˈ t ʰ j u n
երախտամոռ	j e ɾ ɑ χ t ɑ ˈ m o r
երախտամոռություն	j e ɾ ɑ χ t ɑ m o r u ˈ t ʰ j u n
երախտիք	j e ɾ ɑ χ ˈ t i k ʰ
երակ	j e ˈ ɾ ɑ k
երամ	j e ˈ ɾ ɑ m
երամակ	j e ɾ ɑ ˈ m ɑ k
երամովին	j e ɾ ɑ m o ˈ v i n
երանգ	j e ˈ ɾ ɑ n ɡ
երանի	j e ɾ ɑ ˈ n i
երաշխավորագիր	j e ɾ ɑ ʃ χ ɑ v o ɾ ɑ ˈ ɡ i ɾ
երաշխավորել	j e ɾ ɑ ʃ χ ɑ v o ˈ ɾ e l
երաշխավորում	j e ɾ ɑ ʃ χ ɑ v o ˈ ɾ u m
երաշխիք	j e ɾ ɑ ʃ ˈ χ i k ʰ
երաշտ	j e ˈ ɾ ɑ ʃ t
երասան	j e ɾ ɑ ˈ s ɑ n
Երասխ	j e ˈ ɾ ɑ s χ
երաստան	j e ɾ ɑ s ˈ t ɑ n
երաստանք	j e ɾ ɑ s ˈ t ɑ n k ʰ
երբ	j e ɾ p ʰ
երբեմն	j e ɾ ˈ p ʰ e m ə n
երբեմնի	j e ɾ p ʰ e m ˈ n i
երբեք	j e ɾ ˈ p ʰ e k ʰ
երբուծ	j e ɾ ˈ b u t ͡ s
երգ	j e ɾ k ʰ
երգահան	j e ɾ k ʰ ɑ ˈ h ɑ n
երգել	j e ɾ ˈ k ʰ e l
երգեհոն	j e ɾ k ʰ e ˈ h o n
երգեհոնահար	j e ɾ k ʰ e h o n ɑ ˈ h ɑ ɾ
երգեցիկ	j e ɾ k ʰ e ˈ t ͡ s ʰ i k
երգեցողություն	j e ɾ k ʰ e t ͡ s ʰ o ʁ u ˈ t ʰ j u n
երգի	j e ɾ ˈ k ʰ i
երգիծաբան	j e ɾ k ʰ i t ͡ s ɑ ˈ b ɑ n
երգիծաբանություն	j e ɾ k ʰ i t ͡ s ɑ b ɑ n u ˈ t ʰ j u n
երգիծանք	j e ɾ k ʰ i ˈ t ͡ s ɑ n k ʰ
երգիծել	j e ɾ k ʰ i ˈ t ͡ s e l
երգիչ	j e ɾ ˈ k ʰ i t ͡ ʃ ʰ
երգչախումբ	j e ɾ k ʰ t ͡ ʃ ʰ ɑ ˈ χ u m b
երգչուհի	j e ɾ k ʰ t ͡ ʃ ʰ u ˈ h i
երդ	j e ɾ t ʰ
երդիկ	j e ɾ ˈ t ʰ i k
երդիք	j e ɾ ˈ t ʰ i k ʰ
երդվել	j e ɾ t ʰ ˈ v e l
երդվյալ	j e ɾ t ʰ ˈ v j ɑ l
երդում	j e ɾ ˈ t ʰ u m
երե	j e ˈ ɾ e
երեխա	j e ɾ e ˈ χ ɑ
երեկ	j e ˈ ɾ e k
երեկո	j e ɾ e ˈ k o
երեկոյան	j e ɾ e k o ˈ j ɑ n
երեկույթ	j e ɾ e ˈ k u j t ʰ
Երեմեյ	j e ɾ e ˈ m e j
Երեմիա	j e ɾ e m i ˈ ɑ
Երեմյան	j e ɾ e ˈ m j ɑ n
-երեն	e ˈ ɾ e n
երես	j e ˈ ɾ e s
երեսնամյա	j e ɾ e s n ɑ ˈ m j ɑ
երեսնամյան	j e ɾ e s n ɑ ˈ m j ɑ n
երեսպաշտ	j e ɾ e s ˈ p ɑ ʃ t
երեսպաշտություն	j e ɾ e s p ɑ ʃ t u ˈ t ʰ j u n
երեսուն	j e ɾ e ˈ s u n
երևալ	j e ɾ e ˈ v ɑ l
Երևակ	j e ɾ e ˈ v ɑ k
երևակայածին	j e ɾ e v ɑ k ɑ j ɑ ˈ t ͡ s i n
երևակայական	j e ɾ e v ɑ k ɑ j ɑ ˈ k ɑ n
երևակայել	j e ɾ e v ɑ k ɑ ˈ j e l
երևակայելի	j e ɾ e v ɑ k ɑ j e ˈ l i
երևակայվել	j e ɾ e v ɑ k ɑ j ˈ v e l
երևակայություն	j e ɾ e v ɑ k ɑ j u ˈ t ʰ j u n
Երևան	j e ɾ e ˈ v ɑ n
երևանյան	j e ɾ e v ɑ ˈ n j ɑ n
երևելի	j e ɾ e v e ˈ l i
երևի	j e ɾ e ˈ v i
երևիլ	j e ɾ e ˈ v i l
երևում	j e ɾ e ˈ v u m
երևույթ	j e ɾ e ˈ v u j t ʰ
երերալ	j e ɾ e ˈ ɾ ɑ l
երեց	j e ˈ ɾ e t ͡ s ʰ
երեք	j e ˈ ɾ e k ʰ
երեքկին	j e ɾ e k ʰ ˈ k i n
երեքնուկ	j e ɾ e k ʰ ˈ n u k
երեքշաբթի	j e ɾ e k ʰ ʃ ɑ p ʰ ˈ t ʰ i
երթ	j e ɾ t ʰ
երթալ	j e ɾ ˈ t ʰ ɑ l
երթևեկել	j e ɾ t ʰ e v e ˈ k e l
երթևեկելի	j e ɾ t ʰ e v e k e ˈ l i
երթևեկելի մաս	j e ɾ t ʰ e v e k e ˈ l i   m ɑ s
երթևեկության	j e ɾ t ʰ e v e k u ˈ t ʰ j ɑ n
երթևեկության նշան	j e ɾ t ʰ e v e k u ˈ t ʰ j ɑ n   n ə ˈ ʃ ɑ n
երթևեկություն	j e ɾ t ʰ e v e k u ˈ t ʰ j u n
երթևեկում	j e ɾ t ʰ e v e ˈ k u m
երթիկ	j e ɾ ˈ t ʰ i k
երթիք	j e ɾ ˈ t ʰ i k ʰ
երթուղային	j e ɾ t ʰ u ʁ ɑ ˈ j i n
երթուղային տաքսի	j e ɾ t ʰ u ʁ ɑ ˈ j i n   t ɑ k ʰ ˈ s i
երթուղի	j e ɾ t ʰ u ˈ ʁ i
երթուղիչ	j e ɾ t ʰ u ˈ ʁ i t ͡ ʃ ʰ
երթուղղիչ	j e ɾ t ʰ u ʁ ˈ ʁ i t ͡ ʃ ʰ
երի	j e ˈ ɾ i
երիզ	j e ˈ ɾ i z
երիկամ	j e ɾ i ˈ k ɑ m
երիկամունք	j e ɾ i k ɑ ˈ m u n k ʰ
երիմանթյան վարազ	j e ɾ i m ɑ n ˈ t ʰ j ɑ n   v ɑ ˈ ɾ ɑ z
Երիմանթոս	j e ɾ i m ɑ n ˈ t ʰ o s
երինջ	j e ˈ ɾ i n d ͡ ʒ
երիվար	j e ɾ i ˈ v ɑ ɾ
երիտասարդ	j e ɾ i t ɑ ˈ s ɑ ɾ d
երիտասարդական	j e ɾ i t ɑ s ɑ ɾ d ɑ ˈ k ɑ n
երիտասարդանալ	j e ɾ i t ɑ s ɑ ɾ d ɑ ˈ n ɑ l
երիտասարդություն	j e ɾ i t ɑ s ɑ ɾ d u ˈ t ʰ j u n
երիցս	j e ˈ ɾ i t ͡ s ʰ ə s
երիցուկ	j e ɾ i ˈ t ͡ s ʰ u k
Երիքով	j e ɾ i ˈ k ʰ o v
երկ	j e ɾ k
երկաթ	j e ɾ ˈ k ɑ t ʰ
երկաթգիծ	j e ɾ k ɑ t ʰ ˈ ɡ i t ͡ s
երկաթե	j e ɾ k ɑ ˈ t ʰ e
երկաթե վարագույր	j e ɾ k ɑ ˈ t ʰ e   v ɑ ɾ ɑ ˈ k ʰ u j ɾ
երկաթեղեն	j e ɾ k ɑ t ʰ e ˈ ʁ e n
երկաթի դար	j e ɾ k ɑ ˈ t ʰ i   d ɑ ɾ
երկաթյա	j e ɾ k ɑ ˈ t ʰ j ɑ
երկաթուղային	j e ɾ k ɑ t ʰ u ʁ ɑ ˈ j i n
երկաթուղի	j e ɾ k ɑ t ʰ u ˈ ʁ i
երկախոսություն	j e ɾ k ɑ χ o s u ˈ t ʰ j u n
երկակի ստանդարտ	j e ɾ k ɑ ˈ k i   s t ɑ n ˈ d ɑ ɾ t
երկայն	j e ɾ ˈ k ɑ j n
երկայնաբազուկ	j e ɾ k ɑ j n ɑ b ɑ ˈ z u k
երկայնաբան	j e ɾ k ɑ j n ɑ ˈ b ɑ n
երկայնաբանություն	j e ɾ k ɑ j n ɑ b ɑ n u ˈ t ʰ j u n
երկայնամտություն	j e ɾ k ɑ j n ɑ m ə t u ˈ t ʰ j u n
երկայնանալ	j e ɾ k ɑ j n ɑ ˈ n ɑ l
երկայնել	j e ɾ k ɑ j ˈ n e l
երկայնք	j e ɾ ˈ k ɑ j n k ʰ
երկան	j e ɾ ˈ k ɑ n
երկանաքար	j e ɾ k ɑ n ɑ ˈ k ʰ ɑ ɾ
երկանք	j e ɾ ˈ k ɑ n k ʰ
երկար	j e ɾ ˈ k ɑ ɾ
երկարաժամկետ	j e ɾ k ɑ ɾ ɑ ʒ ɑ m ˈ k e t
երկարաձգել	j e ɾ k ɑ ɾ ɑ d ͡ z ə ˈ k ʰ e l
երկարաճիտ կոշիկ	j e ɾ k ɑ ɾ ɑ ˈ t ͡ ʃ i t   k o ˈ ʃ i k
երկարամյա	j e ɾ k ɑ ɾ ɑ ˈ m j ɑ
երկարավուն	j e ɾ k ɑ ɾ ɑ ˈ v u n
երկարավուն ուղեղ	j e ɾ k ɑ ɾ ɑ ˈ ˈ v u n   u ˈ ʁ e ʁ
երկարացնել	j e ɾ k ɑ ɾ ɑ t ͡ s ʰ ˈ n e l
երկարություն	j e ɾ k ɑ ɾ u ˈ t ʰ j u n
երկբայաբար	j e ɾ k b ɑ j ɑ ˈ b ɑ ɾ
երկբայանալ	j e ɾ k b ɑ j ɑ ˈ n ɑ l
երկբայանք	j e ɾ k b ɑ ˈ j ɑ n k ʰ
երկբայել	j e ɾ k b ɑ ˈ j e l
երկբայելի	j e ɾ k b ɑ j e ˈ l i
երկբայորեն	j e ɾ k b ɑ j o ˈ ɾ e n
երկբայություն	j e ɾ k b ɑ j u ˈ t ʰ j u n
երկբարբառ	j e ɾ k b ɑ ɾ ˈ b ɑ r
երկընտրանք	j e ɾ k ə n t ˈ ɾ ɑ n k ʰ
երկիլիոն	j e ɾ k i ˈ l j o n
երկիմաստ	j e ɾ k i ˈ m ɑ s t
երկինք	j e ɾ ˈ k i n k ʰ
երկիր	j e ɾ ˈ k i ɾ
Երկիր	j e ɾ ˈ k i ɾ
երկիցս	j e ɾ ˈ k i t ͡ s ʰ ə s
երկխոսություն	j e ɾ k χ o s u ˈ t ʰ j u n
երկկենցաղ	j e ɾ k k e n ˈ t ͡ s ʰ ɑ ʁ
երկկողմ	j e ɾ k ˈ k o ʁ m
երկկտտացնել	j e ɾ k k ə t t ɑ t ͡ s ʰ ˈ n e l
երկմտանք	j e ɾ k m ə ˈ t ɑ n k ʰ
երկմտել	j e ɾ k m ə ˈ t e l
երկմտի	j e ɾ k m ə ˈ t i
երկմտորեն	j e ɾ k m ə t o ˈ ɾ e n
երկյուղ	j e ɾ ˈ k j u ʁ
երկյուղաբեկ	j e ɾ k j u ʁ ɑ ˈ b e k
երկյուղագին	j e ɾ k j u ʁ ɑ ˈ ɡ i n
երկյուղազդեցիկ	j e ɾ k j u ʁ ɑ z d e ˈ t ͡ s ʰ i k
երկյուղալի	j e ɾ k j u ʁ ɑ ˈ l i
երկյուղալիր	j e ɾ k j u ʁ ɑ ˈ l i ɾ
երկյուղալից	j e ɾ k j u ʁ ɑ ˈ l i t ͡ s ʰ
երկյուղախառն	j e ɾ k j u ʁ ɑ ˈ χ ɑ r ə n
երկյուղած	j e ɾ k j u ˈ ʁ ɑ t ͡ s
երկյուղածաբար	j e ɾ k j u ʁ ɑ t ͡ s ɑ ˈ b ɑ ɾ
երկյուղածել	j e ɾ k j u ʁ ɑ ˈ t ͡ s e l
երկյուղածորեն	j e ɾ k j u ʁ ɑ t ͡ s o ˈ ɾ e n
երկյուղածություն	j e ɾ k j u ʁ ɑ t ͡ s u ˈ t ʰ j u n
երկյուղահար	j e ɾ k j u ʁ ɑ ˈ h ɑ ɾ
երկյուղամիտ	j e ɾ k j u ʁ ɑ ˈ m i t
երկյուղավոր	j e ɾ k j u ʁ ɑ ˈ v o ɾ
երկյուղել	j e ɾ k j u ˈ ʁ e l
երկնագույն	j e ɾ k n ɑ ˈ ɡ u j n
երկնաթռիչ	j e ɾ k n ɑ t ʰ ə ˈ r i t ͡ ʃ ʰ
երկնակամար	j e ɾ k n ɑ k ɑ ˈ m ɑ ɾ
երկնակառույց	j e ɾ k n ɑ k ɑ ˈ r u j t ͡ s ʰ
երկնաքար	j e ɾ k n ɑ ˈ k ʰ ɑ ɾ
երկնաքեր	j e ɾ k n ɑ ˈ k ʰ e ɾ
երկնչել	j e ɾ k ə n ˈ t ͡ ʃ ʰ e l
երկնչոտ	j e ɾ k ə n ˈ t ͡ ʃ ʰ o t
երկնքի արքայություն	j e ɾ k ə n ˈ k ʰ i   ɑ ɾ k ʰ ɑ j u ˈ t ʰ j u n
երկոտանի	j e ɾ k o t ɑ ˈ n i
երկչոտ	j e ɾ k ˈ t ͡ ʃ ʰ o t
երկչոտություն	j e ɾ k t ͡ ʃ ʰ o t u ˈ t ʰ j u n
երկսայր	j e ɾ k ˈ s ɑ j ɾ
երկսայրի	j e ɾ k s ɑ j ˈ ɾ i
երկստոր	j e ɾ k ə s ˈ t o ɾ
երկվայրկյան	j e ɾ k v ɑ j ɾ ˈ k j ɑ n
երկվորյակ	j e ɾ k v o ˈ ɾ j ɑ k
Երկվորյակներ	j e ɾ k v o ɾ j ɑ k ˈ n e ɾ
երկվորյակներ	j e ɾ k v o ɾ j ɑ k ˈ n e ɾ
երկրաբան	j e ɾ k ɾ ɑ ˈ b ɑ n
երկրաբանական	j e ɾ k ɾ ɑ b ɑ n ɑ ˈ k ɑ n
երկրաբանություն	j e ɾ k ɾ ɑ b ɑ n u ˈ t ʰ j u n
երկրագունդ	j e ɾ k ɾ ɑ ˈ ɡ u n d
երկրաշարժ	j e ɾ k ɾ ɑ ˈ ʃ ɑ ɾ ʒ
երկրաչափական	j e ɾ k ɾ ɑ t ͡ ʃ ʰ ɑ p ʰ ɑ ˈ k ɑ n
երկրաչափական մարմին	j e ɾ k ɾ ɑ t ͡ ʃ ʰ ɑ p ʰ ɑ ˈ k ɑ n   m ɑ ɾ ˈ m i n
երկրաչափություն	j e ɾ k ɾ ɑ t ͡ ʃ ʰ ɑ p ʰ u ˈ t ʰ j u n
երկրորդ	j e ɾ k ˈ ɾ o ɾ t ʰ
երկրորդ համաշխարհային պատերազմ	j e ɾ k ˈ ɾ o ɾ t ʰ   h ɑ m ɑ ʃ χ ɑ ɾ ɑ ˈ j i n   p ɑ t e ˈ ɾ ɑ z m
երկրորդային շուկա	j e ɾ k ɾ o ɾ t ʰ ɑ ˈ j i n   ʃ u ˈ k ɑ
երկրպագու	j e ɾ k ə ɾ p ɑ ˈ ɡ u
երկու	j e ɾ ˈ k u
երկու հարյուր	j e ɾ ˈ k u   h ɑ ˈ ɾ j u ɾ
երկունք	j e ɾ ˈ k u n k ʰ
երկուշաբթի	j e ɾ k u ʃ ɑ p ʰ ˈ t ʰ i
երկուս	j e ɾ ˈ k u s
երնեկ	j e ɾ ˈ n e k
երնջակ	j e ɾ ə n ˈ d ͡ ʒ ɑ k
երնջնակ	j e ɾ ə n d ͡ ʒ ˈ n ɑ k
երշիկ	j e ɾ ˈ ʃ i k
-երորդ	e ˈ ɾ o ɾ t ʰ
երջանիկ	j e ɾ d ͡ ʒ ɑ ˈ n i k
երջանկահիշատակ	j e ɾ d ͡ ʒ ɑ n k ɑ h i ʃ ɑ ˈ t ɑ k
երջանկություն	j e ɾ d ͡ ʒ ɑ n k u ˈ t ʰ j u n
Երվազ	j e ɾ ˈ v ɑ z
Երվանդ	j e ɾ ˈ v ɑ n d
Երվինյան	j e ɾ v i ˈ n j ɑ n
երրորդ	j e ɾ ˈ ɾ o ɾ t ʰ
երրորդ համաշխարհային պատերազմ	j e ɾ ˈ ɾ o ɾ t ʰ   h ɑ m ɑ ʃ χ ɑ ɾ ɑ ˈ j i n   p ɑ t e ˈ ɾ ɑ z m
Երուսաղեմ	j e ɾ u s ɑ ˈ ʁ e m
-եցն-	ˈ e t ͡ s ʰ ə n
եփել	j e ˈ p ʰ e l
Եփեսոս	j e p ʰ e ˈ s o s
եփող մակերես	j e ˈ p ʰ o ʁ   m ɑ k e ˈ ɾ e s
Եփրատ	j e p ʰ ˈ ɾ ɑ t
Եփրեմ	j e p ʰ ˈ ɾ e m
եք	e k ʰ
եքիդնա	j e k ʰ i d ˈ n ɑ
եքյա	j e ˈ k ʰ j ɑ
Եֆրեմ	j e f ˈ ɾ e m
եֆրեյտոր	j e f ɾ e j ˈ t o ɾ
Զ	z ə
զ	z ə
զա	z ɑ
զագառ	z ɑ ˈ ɡ ɑ r
Զագրեբ	z ɑ ɡ ˈ ɾ e b
Զադոյան	z ɑ d o ˈ j ɑ n
զազայերեն	z ɑ z ɑ j e ˈ ɾ e n
զազրոտի	z ɑ z ɾ o ˈ t i
Զալցբուրգ	z ɑ l t ͡ s ʰ ˈ b u ɾ ɡ
զալում	z ɑ ˈ l u m
Զախար	z ɑ ˈ χ ɑ ɾ
Զախարի	z ɑ ˈ χ ɑ ɾ i
Զախարյան	z ɑ χ ɑ ˈ ɾ j ɑ n
